Cash Flow Momentum Score (CMS)-S&P 500 Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Name,Index Weight,Stock Symbol,TTM,Latest Fiscal Year,Latest Qtr,Previous Qtr,2 QTR ago,3 Qtr Ago,4 QTR Ago,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
"Thermo Fisher Scientific, Inc.",0.36%,TMO,44,38,46,47,35,64,53,NA,40,47,47,60,45,49,62,55,49,53,40,61,46,39,58,48,68,61,37,36
Abbott Laboratories,0.37%,ABT,40,32,58,50,31,64,49,NA,33,49,57,58,42,52,71,52,24,46,26,62,59,68,53,71,54,69,66,59
Ge Aerospace,0.35%,GE,27,20,46,30,28,63,70,NA,21,71,17,13,38,8,36,14,24,59,53,60,59,74,52,72,77,49,66,66
Texas Instruments Incorporated,0.33%,TXN,37,33,49,52,41,51,50,NA,33,53,61,48,52,67,66,60,66,63,55,64,49,60,51,62,79,33,63,61
International Business Machines Corporation,0.35%,IBM,64,66,33,35,68,60,56,NA,66,56,53,74,56,55,65,55,57,56,43,48,46,51,59,68,56,57,56,56
Intuit Inc,0.35%,INTU,44,45,10,79,60,15,38,47,62,60,58,49,55,64,64,48,66,62,62,67,55,64,56,63,64,57,62,61
Philip Morris International Inc.,0.36%,PM,47,47,51,83,32,61,61,NA,49,56,67,57,64,56,63,54,53,43,55,47,56,63,55,66,44,51,41,40
Caterpillar Inc.,0.34%,CAT,59,60,57,55,43,55,59,NA,61,48,44,50,44,44,54,20,56,54,77,23,54,39,74,33,72,69,46,10
Goldman Sachs Group Inc.,0.34%,GS,12,4,3,84,59,40,12,NA,4,58,40,17,75,83,15,29,59,16,26,54,84,17,87,45,17,15,36,14
Intuitive Surgical Inc.,0.34%,ISRG,37,37,45,55,29,27,37,NA,37,30,50,38,50,34,55,61,53,40,53,54,55,58,60,60,63,58,52,48
Qualcomm Inc,0.33%,QCOM,43,21,31,50,71,49,74,20,66,46,64,41,77,11,44,66,37,50,65,49,51,36,79,46,52,59,51,58
The Walt Disney Company,0.38%,DIS,63,58,69,29,41,27,71,61,61,45,36,28,19,51,51,63,52,47,59,52,49,59,49,49,38,67,46,63
Amgen Inc,0.28%,AMGN,49,45,56,77,41,27,50,NA,46,63,55,63,46,57,73,65,59,69,50,60,46,50,60,63,63,64,60,48
Comcast Corp,0.30%,CMCSA,60,62,67,40,75,46,62,NA,63,66,66,61,63,64,53,62,71,71,56,70,76,69,67,73,70,64,52,69
Verizon Communications,0.32%,VZ,68,68,68,69,61,36,67,NA,69,62,61,75,66,74,47,43,78,62,85,74,68,76,81,65,75,73,70,65
Booking Holdings Inc.,0.30%,BKNG,65,65,53,61,82,60,42,NA,65,82,67,31,45,59,71,71,52,60,55,62,63,60,56,71,43,59,48,45
Morgan Stanley,0.39%,MS,14,15,18,11,81,12,64,NA,15,14,81,16,85,55,15,22,47,10,75,76,51,87,15,91,38,17,20,20
Rtx Corporation,0.29%,RTX,54,51,45,71,18,69,41,NA,51,43,60,14,65,45,56,27,37,50,44,48,55,54,48,61,52,56,59,57
American Express Company,0.37%,AXP,50,60,19,55,73,64,79,NA,61,81,77,40,74,45,83,55,67,75,65,50,69,75,58,72,61,70,58,78
S&p Global Inc.,0.29%,SPGI,59,53,50,61,49,62,49,NA,54,28,51,68,65,46,67,63,28,34,41,48,55,66,65,54,71,59,76,46
At&t Inc.,0.30%,T,76,75,43,70,68,76,70,NA,75,35,65,39,74,69,54,73,75,62,61,74,64,61,71,34,83,68,75,54
Lowe's Companies Inc.,0.28%,LOW,46,38,49,76,48,27,65,39,43,47,73,30,68,40,63,52,62,56,44,60,47,49,42,42,46,48,35,44
Danaher Corporation,0.30%,DHR,42,40,49,40,61,47,39,NA,41,51,55,63,37,53,47,47,46,55,50,65,53,50,50,60,47,62,59,55
Applied Materials Inc,0.25%,AMAT,58,35,49,47,57,57,53,NA,66,51,54,57,42,53,61,70,32,69,35,57,64,72,8,55,59,64,35,58
"Nextra Energy, Inc.",0.29%,NEE,66,55,65,65,57,54,60,NA,55,57,49,54,60,30,41,59,66,62,69,47,50,47,70,57,73,63,36,68
Progressive Corporation,0.27%,PGR,76,73,79,55,76,46,71,NA,73,56,64,56,56,73,71,69,68,44,58,63,45,56,49,27,52,53,48,62
"Uber Technologies, Inc.",0.28%,UBER,56,54,48,53,37,29,48,NA,54,30,28,27,4,6,36,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pfizer Inc.,0.26%,PFE,52,41,75,10,34,39,36,NA,41,53,74,68,37,51,52,72,60,61,47,47,79,44,62,83,55,57,61,65
"Eaton Corporation, Plcs",0.26%,ETN,45,39,54,44,32,49,45,NA,40,40,19,45,59,40,40,48,52,24,44,51,28,34,57,56,35,61,58,36
Union Pacific Corp.,0.26%,UNP,49,43,64,45,61,57,49,NA,45,60,56,57,54,60,44,61,54,52,57,55,65,55,52,62,53,52,58,51
"Blackrock, Inc.",0.30%,BLK,33,32,30,62,27,60,53,NA,32,47,47,51,35,32,58,33,43,36,62,36,50,56,39,81,28,71,46,57
"Honeywell International, Inc.",0.27%,HON,41,34,58,49,30,73,49,NA,35,38,39,41,47,42,60,45,50,50,47,49,30,57,59,51,60,61,49,44
"Tjx Companies, Inc.",0.25%,TJX,52,53,57,23,76,38,51,58,44,27,58,43,58,31,62,43,54,35,66,40,44,71,41,59,53,56,62,31
Citigroup Inc.,0.24%,C,10,2,16,15,84,7,76,NA,2,49,83,11,14,77,20,80,62,57,82,41,68,73,32,47,2,7,57,26
Blackstone Inc.,0.41%,BX,49,59,92,59,37,56,57,NA,59,84,58,44,61,48,27,28,90,45,91,52,50,7,20,61,38,19,71,28
Boston Scientific Corp.,0.23%,BSX,31,52,8,64,27,58,39,NA,53,44,52,20,48,19,66,65,14,69,21,46,73,13,14,36,23,54,41,70
Conocophillips,0.24%,COP,65,58,79,62,72,62,73,NA,59,81,85,14,55,79,45,14,9,53,53,40,54,58,39,44,69,59,68,60
Stryker Corporation,0.27%,SYK,43,46,62,44,27,57,52,NA,47,32,44,61,27,47,38,53,26,51,57,56,40,50,58,54,46,43,57,38
Vertex Pharmaceuticals Inc,0.22%,VRTX,28,37,67,9,71,29,53,NA,38,69,44,67,55,45,57,32,26,5,17,31,63,7,7,23,6,29,11,18
"Palo Alto Networks, Inc.",0.23%,PANW,44,43,42,40,37,77,43,46,61,29,30,21,21,26,35,37,31,8,27,66,36,36,21,NA,NA,NA,NA,NA
Automatic Data Processing,0.22%,ADP,45,42,38,53,68,59,25,45,54,44,42,49,39,49,47,38,44,44,29,52,41,52,44,63,34,54,50,42
"Fiserv, Inc.",0.22%,FI,62,60,79,59,45,62,66,NA,61,65,57,72,70,47,51,59,61,69,61,47,60,64,61,59,46,53,41,65
