Cash Flow Momentum Score (CMS)-S&P 500 Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Name,Index Weight,Stock Symbol,TTM,Latest Fiscal Year,Latest Qtr,Previous Qtr,2 QTR ago,3 Qtr Ago,4 QTR Ago,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Bank of New York Mellon Corporation,0.10%,BK,14,49,22,70,23,5,83,NA,49,91,25,68,18,69,41,74,47,67,15,24,28,56,36,51,68,70,19,63
Johnson Controls International Plc,0.10%,JCI,24,24,62,61,32,12,70,25,43,39,59,34,16,55,12,30,21,44,65,41,14,44,11,57,58,55,22,57
Nxp Semiconductors N.v.,0.10%,NXPI,50,44,54,43,58,60,55,NA,45,69,61,73,54,79,49,45,35,83,71,52,17,38,34,18,NA,NA,NA,NA
Fair Isaac Corporation,0.10%,FICO,53,52,57,66,45,42,59,54,40,67,47,62,51,43,65,63,43,73,53,51,71,46,62,60,54,59,60,65
"Digital Realty Trust, Inc.",0.11%,DLR,53,49,71,61,44,62,24,NA,51,55,30,61,57,63,59,59,63,53,73,76,54,61,63,68,50,59,75,62
Aflac Inc.,0.11%,AFL,28,41,42,18,49,48,64,NA,42,43,46,56,53,58,58,62,71,59,64,83,80,74,76,72,69,67,68,75
Royal Caribbean Group,0.11%,RCL,66,69,44,51,80,67,38,NA,70,27,22,6,56,51,67,58,57,55,56,48,47,58,42,40,55,35,55,57
"Simon Property Group, Inc.",0.11%,SPG,61,63,56,71,63,61,56,NA,64,70,72,59,65,57,66,65,59,57,59,63,60,62,71,72,65,60,62,64
"Ameriprise Financial, Inc.",0.10%,AMP,73,56,74,65,69,83,56,NA,57,70,41,80,38,67,43,49,61,68,32,43,59,70,20,47,48,27,53,42
"W.W. Grainger, Inc.",0.10%,GWW,52,50,53,32,62,54,43,NA,50,49,27,51,40,42,57,50,48,36,47,42,42,33,62,48,39,40,43,40
"Autozone, Inc.",0.10%,AZO,43,41,59,50,43,48,56,44,43,54,67,66,51,66,53,50,55,46,59,47,58,63,54,59,56,67,46,43
Phillips 66,0.10%,PSX,36,31,45,66,13,47,60,NA,31,58,76,9,29,61,36,28,44,11,58,32,56,57,33,NA,NA,NA,NA,NA
Public Storage,0.11%,PSA,60,60,59,67,62,59,55,NA,61,56,58,58,56,48,55,57,53,57,54,54,53,52,55,49,70,65,51,57
"Kinder Morgan, Inc.",0.11%,KMI,74,75,53,72,60,80,57,NA,76,54,75,71,54,61,56,58,70,59,65,63,66,46,58,30,NA,NA,NA,NA
Marathon Petroleum Corporation,0.09%,MPC,48,50,50,67,62,26,59,NA,52,66,68,9,74,51,70,51,58,37,43,62,61,48,58,25,NA,NA,NA,NA
The Allstate Corporation,0.10%,ALL,60,23,68,66,64,45,28,NA,24,32,32,50,42,63,53,59,56,31,67,58,44,54,64,26,46,39,59,47
"American Electric Power Company, Inc.",0.09%,AEP,68,45,86,52,50,49,56,NA,46,61,41,44,42,55,46,52,54,59,53,56,65,50,45,52,44,60,42,63
Realty Income Corporation,0.09%,O,75,76,60,73,77,70,66,NA,76,81,70,68,68,61,70,72,71,73,76,64,65,59,54,60,69,26,26,57
"L3harris Technologies, Inc.",0.09%,LHX,45,42,52,65,14,72,45,NA,43,51,45,74,18,56,49,31,71,64,57,71,73,53,63,79,55,41,40,52
Vistra Corp.,0.09%,VST,76,88,56,78,22,31,70,NA,88,29,4,80,84,33,53,12,23,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Copart Inc,0.10%,CPRT,42,41,46,61,39,49,36,41,46,54,43,58,50,44,65,55,47,60,30,48,56,44,52,51,53,50,54,55
Cummins Inc.,0.09%,CMI,35,73,51,12,26,30,74,NA,73,29,33,45,63,42,63,45,49,49,54,27,59,28,62,55,33,53,60,68
D.R. Horton Inc.,0.10%,DHI,24,22,68,51,20,17,67,24,59,36,19,49,42,32,18,30,50,29,6,15,9,52,25,44,46,10,18,14
"Dominion Energy, Inc.",0.09%,D,62,65,54,32,62,47,69,NA,65,48,28,53,55,47,48,46,63,50,40,62,58,25,62,60,7,65,44,53
"Quanta Services, Inc.",0.09%,PWR,60,55,63,50,40,73,52,NA,55,62,19,71,48,23,27,34,67,14,42,13,28,25,57,42,51,60,38,35
Newmont Corporation,0.09%,NEM,30,9,61,64,65,22,68,NA,10,32,59,75,59,53,32,59,81,51,16,35,68,57,75,61,28,45,50,77
"American International Group, Inc.",0.09%,AIG,49,61,34,46,39,50,66,NA,61,40,60,46,9,28,27,11,27,22,52,51,27,63,57,7,67,22,40,50
"Fidelity National Information Services, Inc.",0.09%,FIS,67,41,18,50,70,78,40,NA,42,36,65,75,64,58,44,74,49,56,52,57,65,70,71,74,28,70,34,45
Fastenal Co,0.09%,FAST,48,53,44,34,54,46,51,NA,54,47,27,55,48,40,45,37,45,45,35,49,36,28,54,48,54,27,47,24
"Metlife, Inc.",0.11%,MET,67,61,73,67,58,71,61,NA,62,66,56,52,65,53,54,62,57,62,52,72,64,64,21,80,20,42,58,64
Paychex Inc,0.09%,PAYX,48,51,67,31,76,40,67,NA,52,55,54,52,55,53,62,53,60,57,57,52,51,52,49,53,54,55,58,51
Ross Stores Inc,0.09%,ROST,48,51,49,25,70,32,57,55,32,35,53,48,56,43,58,43,59,40,48,48,36,71,68,37,68,61,47,38
Te Connectivity Ltd,0.08%,TEL,50,49,63,62,59,39,67,51,61,44,53,25,47,39,59,43,37,46,53,60,51,59,42,27,23,57,51,50
"Msci, Inc.",0.08%,MSCI,53,48,62,57,58,58,46,NA,49,60,53,55,55,62,47,72,48,41,48,75,62,61,46,78,61,53,38,27
Howmet Aerospace Inc.,0.08%,HWM,44,42,32,60,37,69,31,NA,43,59,60,20,39,10,14,9,25,50,10,5,46,47,17,NA,15,15,14,16
Discover Financial Services,0.08%,DFS,74,83,29,60,60,75,76,NA,84,78,56,66,75,65,78,75,67,68,66,55,63,77,71,94,82,71,76,60
Kenvue Inc.,0.08%,KVUE,54,63,24,67,36,66,44,NA,64,58,18,45,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crown Castle Inc.,0.08%,CCI,61,60,52,66,59,69,45,NA,60,59,52,63,60,61,64,61,64,73,72,64,60,34,38,43,37,36,46,22
Pg&e Corporation,0.08%,PCG,72,54,86,29,68,25,54,NA,55,61,32,44,28,15,65,58,52,52,41,64,56,52,54,55,50,60,61,43
Kimberly-Clark Corp.,0.08%,KMB,61,67,50,68,38,69,47,NA,67,51,42,66,39,54,47,68,44,50,44,69,36,43,67,55,45,60,48,61
"Prudential Financial, Inc.",0.08%,PRU,62,62,70,10,78,28,43,NA,62,22,47,24,55,75,54,66,57,76,20,74,76,59,43,46,61,48,34,75
"Ametek, Inc.",0.08%,AME,58,57,55,43,54,57,53,NA,58,40,35,55,52,45,49,58,41,50,46,57,52,54,64,40,51,57,43,47
Valero Energy Corporation,0.08%,VLO,70,61,51,63,64,32,61,NA,61,36,7,31,9,37,54,53,61,34,56,69,62,71,9,12,37,51,69,66
"Axon Enterprise, Inc.",0.08%,AXON,15,19,33,52,14,58,36,NA,20,50,28,8,45,55,43,21,68,53,59,65,38,6,24,37,46,38,12,64
Ford Motor Company,0.08%,F,73,73,62,69,25,11,58,NA,73,9,33,47,70,54,56,73,63,71,46,42,37,48,82,10,45,24,61,71
Baker Hughes Company,0.08%,BKR,54,58,62,19,57,59,44,NA,59,19,40,25,68,73,32,13,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Service Enterprise Group Incorporated,0.08%,PEG,49,58,43,28,48,42,57,NA,59,40,15,45,57,41,48,48,63,52,58,46,76,46,35,62,44,72,30,51
Old Dominion Freight Line,0.08%,ODFL,43,39,51,43,62,52,52,NA,41,60,50,47,55,60,36,52,62,47,46,53,60,44,39,61,46,55,55,50
"Cencora, Inc.",0.09%,COR,55,55,49,81,14,42,78,56,70,58,60,30,74,47,47,56,75,70,40,63,51,60,50,53,71,42,74,63
Republic Services Inc.,0.12%,RSG,56,59,51,62,58,52,52,NA,59,65,58,63,58,60,52,64,63,58,58,54,69,57,71,53,71,49,72,66
Targa Resources Corp.,0.08%,TRGP,60,67,36,56,66,71,35,NA,67,64,74,63,55,49,50,14,74,65,39,52,67,28,64,66,NA,NA,NA,NA
Ingersoll Rand Inc.,0.08%,IR,57,61,54,55,29,69,59,NA,61,55,22,42,45,72,55,19,31,21,46,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gartner, Inc.",0.07%,IT,46,43,66,61,47,36,48,NA,44,49,67,76,58,62,39,56,54,59,55,57,62,63,54,68,70,67,9,36
Lennar Corporation Class A,0.08%,LEN,53,61,53,21,29,74,50,NA,62,56,34,72,30,50,55,46,32,18,8,10,18,45,24,48,26,45,39,25
"Cbre Group, Inc.",0.07%,CBRE,24,11,62,56,8,64,60,NA,10,35,53,68,37,49,46,21,33,35,71,20,30,71,73,10,68,39,68,68
"Delta Air Lines, Inc.",0.08%,DAL,38,43,25,60,80,17,20,NA,44,57,57,6,64,61,39,58,77,63,54,50,66,82,34,10,52,48,36,8
Otis Worldwide Corporation,0.07%,OTIS,37,42,42,45,34,66,30,NA,43,47,55,54,48,54,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Verisk Analytics, Inc.",0.07%,VRSK,46,54,58,35,76,53,53,NA,55,48,55,55,57,60,61,39,56,45,53,63,54,53,72,49,51,NA,NA,NA
"Corteva, Inc.",0.07%,CTVA,70,62,13,48,13,49,6,NA,62,16,61,70,30,37,6,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cognizant Technology Solutions,0.07%,CTSH,33,37,65,40,26,48,68,NA,38,52,37,71,48,47,64,33,61,39,39,50,41,41,56,53,47,50,45,50
Edwards Lifesciences Corp,0.07%,EW,24,26,37,54,27,26,55,NA,27,32,51,43,49,39,64,53,32,56,51,49,47,47,39,34,55,71,48,73
Dell Technologies Inc.,0.18%,DELL,58,76,51,30,53,54,78,79,30,59,70,64,33,47,35,28,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Kroger Co.,0.08%,KR,62,71,40,64,77,18,17,73,41,60,70,62,49,32,39,57,60,61,50,46,61,48,53,53,50,53,25,39
Monster Beverage Corporation,0.09%,MNST,56,50,62,44,51,41,50,NA,51,28,32,51,38,50,57,57,22,58,45,34,53,52,38,69,54,50,57,56
Hess Corporation,0.08%,HES,57,58,62,79,47,65,52,NA,59,70,79,23,18,38,31,6,4,36,16,47,48,55,42,61,46,60,35,55
Agilent Technologies Inc.,0.07%,A,55,58,55,34,61,50,61,NA,59,38,54,38,35,61,48,63,30,32,49,48,63,48,12,44,62,22,63,63
Ge Healthcare Technologies Inc.,0.07%,GEHC,40,42,65,14,39,70,66,NA,43,54,35,39,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vulcan Materials Company,0.07%,VMC,53,53,73,34,41,51,61,NA,53,55,39,56,54,52,35,54,64,24,60,32,14,10,61,22,54,51,38,63
Charter Comm Inc Del Cl a,0.20%,CHTR,59,64,70,71,68,68,60,NA,65,70,70,75,62,54,65,68,28,29,36,40,40,55,68,32,15,22,10,5
"Yum! Brands, Inc.",0.07%,YUM,49,47,59,45,57,48,56,NA,48,45,54,51,50,42,35,31,58,55,48,54,57,65,45,51,65,58,63,51
Exelon Corporation,0.07%,EXC,45,42,53,56,43,48,49,NA,44,62,38,40,41,58,43,58,66,40,62,64,49,59,65,86,55,83,42,80
Sysco Corporation,0.07%,SYY,51,49,18,75,44,63,27,53,61,38,58,44,49,38,59,59,50,42,44,44,34,19,47,52,50,38,38,31
Electronic Arts Inc,0.08%,EA,66,68,43,21,63,80,21,73,49,61,58,54,47,59,59,55,62,72,52,41,32,29,11,19,40,48,40,40
"Xcel Energy, Inc.",0.08%,XEL,60,61,60,54,57,42,69,NA,61,63,32,44,51,45,51,52,57,49,57,42,58,44,57,54,44,69,57,36
Nucor Corporation,0.06%,NUE,45,51,52,68,28,49,68,NA,52,74,65,61,65,59,23,50,77,55,33,50,40,41,14,63,48,60,78,60
Corning Incorporated,0.07%,GLW,46,40,32,68,22,28,56,NA,40,48,67,55,37,61,18,39,53,79,46,60,34,61,39,44,40,32,65,44
Martin Marietta Materials,0.07%,MLM,41,52,68,19,24,61,48,NA,53,37,48,53,59,42,32,54,60,57,59,42,48,45,54,49,52,46,55,48
Arch Capital Group Ltd,0.07%,ACGL,65,67,69,47,60,39,78,NA,68,71,67,73,64,70,50,72,56,62,45,59,59,46,52,61,63,74,61,69
Iqvia Holdings Inc.,0.06%,IQV,52,42,61,50,54,57,57,NA,44,50,67,67,57,59,39,73,47,45,58,65,20,45,NA,NA,NA,NA,NA,NA
Microchip Technology Inc,0.06%,MCHP,51,53,16,50,57,67,39,55,70,78,71,69,74,72,77,64,64,71,63,37,61,69,44,57,48,67,60,69
Keurig Dr Pepper Inc.,0.08%,KDP,23,19,40,59,25,26,46,NA,19,58,52,54,68,66,56,53,55,67,69,40,44,88,67,48,50,51,52,53
"Constellation Brands, Inc.",0.08%,STZ,54,48,37,47,43,45,58,51,30,63,54,71,45,36,48,51,49,56,40,70,58,56,41,53,23,55,33,58
Hp Inc.,0.06%,HPQ,48,40,74,56,25,73,57,NA,41,50,57,54,56,48,60,43,45,67,64,46,58,48,56,72,44,69,76,41
Lululemon Athletica Inc.,0.07%,LULU,67,61,61,23,84,45,59,64,31,61,48,38,60,56,50,36,48,39,49,45,61,70,48,56,73,15,29,23
Resmed Inc.,0.06%,RMD,64,65,43,59,70,50,49,69,47,26,45,59,34,54,36,67,42,42,48,65,51,29,59,54,33,46,34,48
Idexx Laboratories Inc,0.06%,IDXX,52,51,42,49,50,45,50,NA,51,30,42,51,43,36,49,59,33,36,41,44,48,40,51,46,52,40,59,36
M&t Bank Corp.,0.07%,MTB,39,54,22,51,57,50,67,NA,55,82,75,30,59,43,82,35,73,53,55,28,67,79,63,82,85,56,30,37
"General Mills, Inc.",0.06%,GIS,58,53,38,49,60,71,25,56,30,54,44,67,54,57,46,53,58,42,62,65,29,55,51,47,51,58,55,40
Wabtec Inc.,0.06%,WAB,55,48,66,28,47,72,65,NA,49,51,59,43,70,40,16,48,43,61,28,35,57,46,48,51,46,71,58,36
"Extra Space Storage, Inc.",0.06%,EXR,67,60,60,69,74,52,64,NA,61,70,52,62,61,61,57,68,59,70,64,70,62,63,57,65,62,74,39,21
"Dupont De Nemours, Inc.",0.06%,DD,73,74,66,17,52,39,49,NA,74,17,33,52,12,20,74,34,56,48,67,59,37,62,35,67,54,44,58,29
"The Hartford Financial Services Group, Inc.",0.06%,HIG,62,57,67,55,55,57,79,NA,58,64,57,64,64,64,33,51,64,67,46,37,50,62,26,27,66,75,67,39
Iron Mountain Inc.,0.06%,IRM,60,57,28,65,43,70,43,NA,58,55,40,66,57,65,68,56,66,41,63,47,50,35,64,63,62,60,50,64
Occidental Petroleum Corporation,0.08%,OXY,23,64,18,62,58,72,69,NA,65,78,89,32,24,74,72,19,17,58,67,52,70,74,45,69,51,71,66,68
"Consolidated Edison, Inc.",0.06%,ED,36,19,25,65,35,64,18,NA,20,61,53,41,56,37,48,54,60,57,45,47,67,46,65,18,45,55,21,44
Humana Inc.,0.06%,HUM,9,41,69,62,45,30,37,NA,42,63,15,57,71,26,70,64,15,36,39,49,46,68,59,46,43,77,61,28
"Diamondback Energy, Inc.",0.09%,FANG,55,59,57,67,73,59,51,NA,60,80,81,28,74,57,63,19,25,59,65,67,40,42,32,NA,NA,NA,NA,NA
"Equifax, Incorporated",0.06%,EFX,63,58,68,45,56,51,62,NA,58,28,61,64,6,42,53,57,66,61,60,66,61,42,56,61,66,62,60,56
"Avalonbay Communities, Inc.",0.06%,AVB,58,60,63,50,74,46,69,NA,61,60,41,51,54,47,57,48,57,54,69,53,41,42,50,34,46,45,35,37
"Nasdaq, Inc.",0.08%,NDAQ,48,47,30,53,72,57,32,NA,48,67,31,58,42,61,59,68,54,64,47,55,68,36,70,61,20,59,52,68
Vici Properties Inc.,0.06%,VICI,51,50,46,52,60,53,47,NA,51,77,46,60,62,63,71,22,46,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garmin Ltd,0.07%,GRMN,51,54,41,32,64,55,54,NA,55,33,34,59,31,61,41,69,26,41,40,46,58,49,70,67,55,52,49,47
Dow Inc.,0.06%,DOW,42,50,45,46,27,31,66,NA,50,64,53,69,53,47,6,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edison International,0.06%,EIX,53,51,84,21,59,39,77,NA,51,63,12,50,16,8,57,45,68,48,48,23,25,55,64,42,52,78,65,24
Entergy Corporation,0.06%,ETR,63,59,61,62,49,39,68,NA,60,54,42,47,58,39,46,12,15,77,58,49,44,77,50,69,46,78,34,74
Willis Towers Watson Public Limited Companys,0.06%,WTW,41,53,36,70,24,56,56,NA,54,22,50,68,27,59,36,68,20,38,52,36,47,49,57,32,49,35,25,48
Centene Corporation,0.05%,CNC,24,66,8,67,10,33,42,NA,66,70,48,73,33,23,43,75,44,78,66,59,65,32,65,66,58,44,32,64
Fifth Third Bancorp,0.06%,FITB,56,60,80,51,30,77,53,NA,60,88,64,21,38,73,39,53,67,47,85,66,57,67,83,48,24,72,81,60
"Monolithic Power Systems, Inc.",0.05%,MPWR,64,59,58,36,71,45,57,NA,60,30,46,54,59,39,55,60,42,55,61,26,43,54,35,67,67,20,67,34
"Rockwell Automation, Inc.",0.06%,ROK,23,26,38,50,49,19,78,26,49,29,39,43,52,66,49,43,64,49,59,46,50,35,51,57,37,29,50,57
"Wec Energy Group, Inc.",0.06%,WEC,62,61,49,66,72,43,50,NA,61,46,40,47,46,53,46,69,51,53,60,64,51,51,37,49,32,54,43,39
Costar Group Inc,0.05%,CSGP,39,28,47,32,49,48,13,NA,29,41,41,50,55,52,54,60,11,57,54,62,29,43,45,47,65,58,47,42
Ebay Inc,0.05%,EBAY,45,45,65,46,75,21,43,NA,46,39,75,44,70,40,41,43,64,45,72,63,53,56,55,70,74,69,72,56
Tractor Supply Co,0.05%,TSCO,31,33,22,57,43,56,20,NA,35,48,30,70,56,42,46,57,34,42,24,54,36,37,50,71,61,24,41,35
Xylem Inc,0.05%,XYL,47,42,40,51,25,54,62,NA,43,48,26,54,67,26,63,52,51,49,29,39,51,43,47,NA,NA,NA,NA,NA
Ansys Inc,0.05%,ANSS,48,46,55,24,66,54,60,NA,47,49,37,45,39,46,62,48,50,61,51,49,68,37,46,72,63,74,66,59
"Raymond James Financial, Inc.",0.06%,RJF,44,42,24,35,55,65,68,41,25,18,80,82,25,72,73,13,71,31,68,32,82,7,72,20,74,16,79,11
On Semiconductor Corp,0.05%,ON,41,30,52,39,54,55,46,NA,31,71,70,63,38,63,66,66,51,68,54,9,52,70,48,44,50,68,81,28
"Cardinal Health, Inc.",0.05%,CAH,47,75,14,85,20,77,51,77,61,49,72,34,55,73,19,65,56,70,69,30,34,68,48,49,20,51,63,64
"United Airlines Holdings, Inc.",0.05%,UAL,49,49,36,63,47,10,16,NA,49,72,27,6,62,72,29,61,61,62,52,5,71,75,48,7,71,44,62,14
"Global Payments, Inc.",0.05%,GPN,66,57,84,68,50,64,35,NA,58,62,68,70,65,75,30,63,66,64,23,51,15,80,73,86,69,46,61,80
Take-Two Interactive Software Inc,0.06%,TTWO,4,4,24,10,50,14,30,3,8,18,60,50,78,52,71,38,20,86,36,8,77,16,72,12,20,41,15,29
"Ppg Industries, Inc.",0.05%,PPG,57,65,65,48,19,60,66,NA,65,21,26,58,64,31,46,37,54,23,31,62,48,51,62,73,37,59,63,45
State Street Corporation,0.05%,STT,27,17,32,8,6,79,38,NA,17,90,13,48,57,85,87,62,19,41,18,35,76,43,22,23,88,38,94,28
The Kraft Heinz Company,0.07%,KHC,70,57,32,64,43,62,53,NA,57,26,66,78,68,42,21,56,57,45,29,58,59,22,NA,NA,NA,NA,NA,NA
Hewlett Packard Enterprise Company,0.05%,HPE,58,54,57,73,16,77,72,NA,55,62,70,19,73,57,35,62,30,58,72,45,NA,NA,NA,NA,NA,NA,NA,NA
"Keysight Technologies, Inc.",0.05%,KEYS,47,58,51,24,61,64,31,NA,59,40,58,56,67,63,42,52,34,55,45,50,41,NA,NA,NA,NA,NA,NA,NA
"Nvr, Inc.",0.05%,NVR,34,38,51,43,35,45,73,NA,39,64,52,47,50,48,51,55,35,21,34,56,10,15,31,58,54,61,55,42
"Dexcom, Inc.",0.05%,DXCM,40,41,38,50,56,30,54,NA,42,54,39,47,60,22,28,22,29,29,27,11,22,11,16,15,21,7,7,8
Dover Corporation,0.05%,DOV,51,56,56,37,31,63,59,NA,57,29,36,58,55,43,37,51,45,42,43,64,49,56,52,67,48,66,53,47
"Pultegroup, Inc.",0.05%,PHM,54,53,45,51,45,36,39,NA,53,33,32,64,35,67,62,39,11,17,47,73,5,25,40,35,47,9,40,13
"Leidos Holdings, Inc.",0.04%,LDOS,47,61,67,59,26,35,44,NA,61,48,41,66,58,56,50,56,53,46,19,31,58,50,52,57,27,63,36,18
Deckers Outdoor Corp,0.05%,DECK,54,61,24,47,24,87,22,65,53,22,70,42,58,74,71,26,27,70,61,23,32,75,36,51,67,61,40,49
"Ventas, Inc.",0.05%,VTR,30,33,72,69,38,30,38,NA,34,38,53,66,63,56,47,59,73,67,72,70,63,49,57,54,55,49,58,36
Fortive Corporation,0.05%,FTV,54,49,64,51,44,58,57,NA,50,65,38,44,48,41,47,57,52,41,51,40,NA,NA,NA,NA,NA,NA,NA,NA
Halliburton Company,0.05%,HAL,66,60,47,66,37,75,40,NA,61,53,47,29,16,58,35,5,11,33,56,39,53,34,46,53,35,75,24,33
"Brown & Brown, Inc.",0.06%,BRO,44,49,62,67,30,48,53,NA,50,51,63,56,65,64,57,51,64,60,75,41,46,67,47,75,40,49,62,48
Mettler-Toledo International,0.05%,MTD,52,49,49,53,50,57,39,NA,50,42,50,51,42,41,53,45,45,53,40,47,38,44,46,47,51,48,55,56
Cdw Corporation,0.04%,CDW,50,50,51,19,58,56,56,NA,51,55,19,58,46,51,59,60,19,58,62,71,47,54,17,36,34,59,52,30
Broadridge Financial Solutions Inc,0.05%,BR,53,56,15,80,54,62,13,59,55,25,37,42,38,58,55,49,61,66,42,71,30,76,53,83,31,68,NA,NA
"Church & Dwight Co., Inc.",0.05%,CHD,53,47,31,38,57,39,49,NA,47,49,43,52,55,46,45,56,58,48,40,58,47,54,57,63,56,43,50,67
The Hershey Company,0.06%,HSY,52,44,70,39,51,69,48,NA,46,55,55,46,57,58,63,38,71,26,48,65,26,48,76,41,69,64,31,56
T Rowe Price Group Inc,0.05%,TROW,43,32,44,61,78,25,50,NA,32,59,67,58,41,65,46,29,65,51,60,44,59,53,39,59,56,53,63,52
"Tyler Technologies, Inc.",0.05%,TYL,45,43,71,27,40,51,65,NA,45,53,45,59,44,54,41,64,31,69,49,52,66,40,46,68,63,59,53,51
Eqt Corp,0.05%,EQT,54,62,35,37,83,53,41,NA,63,88,41,28,21,30,45,9,42,62,62,48,54,57,65,57,35,86,18,37
"American Water Works Company, Inc",0.05%,AWK,60,60,61,37,52,51,57,NA,61,38,35,52,50,46,59,58,57,64,46,61,51,60,32,24,27,20,29,34
Synchrony Financial,0.05%,SYF,75,83,76,81,80,67,70,NA,83,73,67,63,70,72,83,78,81,68,50,73,55,NA,NA,NA,NA,NA,NA,NA
"Corpay, Inc.",0.05%,CPAY,79,83,26,75,58,90,27,NA,84,37,53,74,61,55,39,54,72,67,44,NA,NA,NA,NA,NA,NA,NA,NA,NA
Godaddy Inc,0.05%,GDDY,33,44,20,57,58,50,69,NA,44,72,57,28,70,56,67,45,43,38,30,11,16,NA,NA,NA,NA,NA,NA,NA
Smurfit Westrock Plc,0.05%,SW,51,63,20,25,25,71,54,NA,63,63,35,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Veralto Corporation,0.05%,VLTO,42,47,40,56,39,53,39,NA,48,46,40,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Huntington Bancshares Inc,0.05%,HBAN,31,48,19,35,42,64,71,NA,49,83,66,49,44,51,73,65,63,48,56,52,81,50,45,47,5,27,69,43
Equity Residential,0.05%,EQR,57,60,72,59,67,41,67,NA,61,69,37,48,54,57,66,33,52,70,29,57,33,53,44,49,33,37,30,40
"Netapp, Inc",0.04%,NTAP,67,71,45,70,79,32,76,77,43,53,66,49,45,70,58,57,60,62,56,63,65,60,56,71,70,58,66,62
Biogen Inc.,0.04%,BIIB,54,41,68,50,71,18,29,NA,42,24,64,48,65,71,59,65,58,53,51,54,53,69,40,79,59,59,69,70
Archer Daniels Midland Company,0.05%,ADM,58,48,23,26,72,31,73,NA,49,25,75,32,9,4,52,19,27,55,72,66,6,31,74,8,9,20,69,7
Hubbell Incorporated,0.04%,HUBB,51,51,41,55,32,64,33,NA,52,44,39,60,56,59,44,54,34,44,42,43,51,34,68,54,71,24,36,31
Carnival Corporation,0.06%,CCL,73,45,48,68,34,24,72,NA,46,25,21,6,44,50,59,64,74,60,42,43,46,50,46,42,53,53,50,55
Dte Energy Company,0.05%,DTE,59,59,43,42,63,54,38,NA,59,33,42,62,44,51,43,53,50,40,50,62,62,64,73,67,29,61,38,46
Ppl Corporation,0.05%,PPL,50,48,58,66,50,19,68,NA,49,44,50,55,35,48,45,52,50,56,49,50,51,52,63,51,35,64,58,63
Ameren Corporation,0.04%,AEE,44,52,26,49,52,45,60,NA,53,60,41,43,52,49,52,58,65,47,56,28,64,64,64,63,41,56,52,54
Devon Energy Corporation,0.05%,DVN,59,58,32,62,81,65,70,NA,59,79,83,24,16,27,63,18,24,58,28,20,43,45,7,42,57,57,70,75
Regions Financial Corp.,0.04%,RF,45,46,77,26,40,64,72,NA,47,67,66,61,66,54,70,71,52,55,83,59,39,46,39,27,77,81,80,53
"West Pharmaceutical Services, Inc.",0.04%,WST,44,42,46,47,40,52,50,NA,43,54,41,51,53,38,49,40,51,29,48,58,36,45,44,44,42,66,61,48
Sba Communications Corp,0.04%,SBAC,71,72,48,77,67,71,60,NA,72,71,64,67,69,62,69,66,39,46,42,44,37,27,44,50,44,42,46,42
Cincinnati Financial Corp,0.04%,CINF,47,47,61,65,51,55,30,NA,48,33,58,58,48,58,42,60,67,59,61,65,27,46,50,40,52,40,50,51
International Flavors & Fragrances Inc.,0.04%,IFF,32,38,14,48,35,39,68,NA,38,11,62,52,54,34,33,54,34,56,47,55,22,43,57,39,54,55,27,52
"Ptc, Inc",0.04%,PTC,59,58,31,54,73,69,25,61,64,57,45,43,26,61,40,25,46,72,52,47,21,74,44,82,60,31,54,74
"Expedia Group, Inc.",0.04%,EXPE,58,57,21,64,47,31,18,NA,57,64,74,14,76,60,66,63,43,80,47,79,65,64,69,37,66,57,71,75
Teledyne Technologies Incorporated,0.04%,TDY,51,45,37,51,66,27,51,NA,46,21,55,54,37,46,55,61,31,55,31,31,48,34,53,33,69,29,53,63
Weyerhaeuser Company,0.04%,WY,37,38,43,71,37,31,55,NA,38,61,69,63,13,40,64,24,50,38,60,54,19,63,36,13,14,50,48,60
Atmos Energy Corporation,0.04%,ATO,57,77,45,61,43,42,40,NA,77,51,15,50,41,54,54,49,61,62,50,54,38,51,78,37,69,34,58,69
Waters Corp,0.04%,WAT,45,35,64,25,73,58,56,NA,36,38,40,63,45,35,66,53,48,46,43,38,48,49,50,63,61,45,62,54
"Zimmer Biomet Holdings, Inc.",0.04%,ZBH,58,53,55,55,41,64,49,NA,54,57,67,24,41,36,47,81,56,54,41,58,55,63,57,53,55,57,49,61
